DateTime,Date,price
2019-09-01,201909,2.4
2019-08-01,201908,2.11
2019-07-01,201907,2.21
2019-06-01,201906,2.21
2019-05-01,201905,2.43
2019-04-01,201904,2.48
2019-03-01,201903,2.83
2019-02-01,201902,2.82
2019-01-01,201901,3.21
2018-12-01,201812,3.86
2018-11-01,201811,3.79
2018-10-01,201810,3.28
2018-09-01,201809,2.96
2018-08-01,201808,3.04
2018-07-01,201807,2.98
2018-06-01,201806,3.03
2018-05-01,201805,2.89
2018-04-01,201804,2.82
2018-03-01,201803,2.74
2018-02-01,201802,2.91
2018-01-01,201801,4.08
2017-12-01,201712,2.98
2017-11-01,201711,3.12
2017-10-01,201710,3.13
2017-09-01,201709,3.14
2017-08-01,201708,3.07
2017-07-01,201707,3.21
2017-06-01,201706,3.24
2017-05-01,201705,3.33
2017-04-01,201704,3.24
2017-03-01,201703,3.04
2017-02-01,201702,3.15
2017-01-01,201701,3.51
2016-12-01,201612,3.44
2016-11-01,201611,2.71
2016-10-01,201610,3.24
2016-09-01,201609,3.13
2016-08-01,201608,2.94
2016-07-01,201607,2.95
2016-06-01,201606,2.62
2016-05-01,201605,2.17
2016-04-01,201604,2.14
2016-03-01,201603,1.91
2016-02-01,201602,2.19
2016-01-01,201601,2.53
2015-12-01,201512,2.22
2015-11-01,201511,2.3
2015-10-01,201510,2.66
2015-09-01,201509,2.88
2015-08-01,201508,3.01
2015-07-01,201507,3.03
2015-06-01,201506,2.98
2015-05-01,201505,3.02
2015-04-01,201504,2.82
2015-03-01,201503,3.02
2015-02-01,201502,3.1
2015-01-01,201501,3.28
2014-12-01,201412,4.01
2014-11-01,201411,4.21
2014-10-01,201410,4.1
2014-09-01,201409,4.19
2014-08-01,201408,4.13
2014-07-01,201407,4.41
2014-06-01,201406,4.85
2014-05-01,201405,4.79
2014-04-01,201404,4.86
2014-03-01,201403,5.24
2014-02-01,201402,6.54
2014-01-01,201401,4.82
2013-12-01,201312,4.4
2013-11-01,201311,3.87
2013-10-01,201310,3.79
2013-09-01,201309,3.81
2013-08-01,201308,3.65
2013-07-01,201307,3.89
2013-06-01,201306,4.15
2013-05-01,201305,4.34
2013-04-01,201304,4.35
2013-03-01,201303,3.96
2013-02-01,201302,3.6
2013-01-01,201301,3.57
2012-12-01,201212,3.72
2012-11-01,201211,3.74
2012-10-01,201210,3.46
2012-09-01,201209,3.04
2012-08-01,201208,3.2
2012-07-01,201207,3.13
2012-06-01,201206,2.71
2012-05-01,201205,2.54
2012-04-01,201204,2.26
2012-03-01,201203,2.51
2012-02-01,201202,2.9
2012-01-01,201201,3.12
2011-12-01,201112,3.55
2011-11-01,201111,3.6
2011-10-01,201110,3.9
2011-09-01,201109,4.22
2011-08-01,201108,4.45
2011-07-01,201107,4.7
2011-06-01,201106,4.75
2011-05-01,201105,4.56
2011-04-01,201104,4.53
2011-03-01,201103,4.22
2011-02-01,201102,4.75
2011-01-01,201101,4.51
2010-12-01,201012,4.54
2010-11-01,201011,3.81
2010-10-01,201010,3.83
2010-09-01,201009,4.12
2010-08-01,201008,4.62
2010-07-01,201007,4.81
2010-06-01,201006,4.8
2010-05-01,201005,4.32
2010-04-01,201004,4.21
2010-03-01,201003,4.76
2010-02-01,201002,5.6
2010-01-01,201001,6.19
2009-12-01,200912,5.26
2009-11-01,200911,4.11
2009-10-01,200910,4.05
2009-09-01,200909,3.13
2009-08-01,200908,3.54
2009-07-01,200907,3.77
2009-06-01,200906,3.87
2009-05-01,200905,3.82
2009-04-01,200904,3.62
2009-03-01,200903,3.67
2009-02-01,200902,4.42
2009-01-01,200901,5.24
2008-12-01,200812,5.91
2008-11-01,200811,5.72
2008-10-01,200810,6.26
2008-09-01,200809,7.1
2008-08-01,200808,8.63
2008-07-01,200807,11.34
2008-06-01,200806,12.18
2008-05-01,200805,10.48
2008-04-01,200804,9.95
2008-03-01,200803,8.92
2008-02-01,200802,8.08
2008-01-01,200801,7.73
2007-12-01,200712,7.0
2007-11-01,200711,6.58
2007-10-01,200710,6.68
2007-09-01,200709,5.88
2007-08-01,200708,6.19
2007-07-01,200707,6.55
2007-06-01,200706,7.48
2007-05-01,200705,7.51
2007-04-01,200704,7.29
2007-03-01,200703,6.9
2007-02-01,200702,7.34
2007-01-01,200701,6.42
2006-12-01,200612,6.92
2006-11-01,200611,6.87
2006-10-01,200610,5.09
2006-09-01,200609,5.83
2006-08-01,200608,7.03
2006-07-01,200607,6.06
2006-06-01,200606,6.08
2006-05-01,200605,6.34
2006-04-01,200604,6.82
2006-03-01,200603,6.76
2006-02-01,200602,7.48
2006-01-01,200601,8.48
2005-12-01,200512,10.72
2005-11-01,200511,9.32
2005-10-01,200510,11.3
2005-09-01,200509,10.43
2005-08-01,200508,8.41
2005-07-01,200507,7.29
2005-06-01,200506,6.88
2005-05-01,200505,6.66
2005-04-01,200504,7.07
2005-03-01,200503,6.47
2005-02-01,200502,6.04
2005-01-01,200501,6.01
2004-12-01,200412,6.59
2004-11-01,200411,6.57
2004-10-01,200410,5.85
2004-09-01,200409,5.13
2004-08-01,200408,5.86
2004-07-01,200407,6.07
2004-06-01,200406,6.45
2004-05-01,200405,6.14
2004-04-01,200404,5.54
2004-03-01,200403,5.22
2004-02-01,200402,5.41
2004-01-01,200401,5.92
2003-12-01,200312,5.39
2003-11-01,200311,4.49
2003-10-01,200310,4.62
2003-09-01,200309,4.91
2003-08-01,200308,5.06
2003-07-01,200307,5.27
2003-06-01,200306,5.97
2003-05-01,200305,
2003-04-01,200304,5.2
2003-03-01,200303,7.2
2003-02-01,200302,6.91
2003-01-01,200301,5.11
2002-12-01,200212,4.28
2002-11-01,200211,4.09
2002-10-01,200210,3.95
2002-09-01,200209,3.49
2002-08-01,200208,3.21
2002-07-01,200207,3.37
2002-06-01,200206,3.39
2002-05-01,200205,3.52
2002-04-01,200204,3.57
2002-03-01,200203,2.96
2002-02-01,200202,2.36
2002-01-01,200201,2.65
